Zip Code,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Median Home Value,Public transportation
00601,6999.0,39.5,41.3,0.15044771076195304,86200,0.0
00602,9277.0,41.9,42.8,0.1346904527379519,86300,0.0027962250961202375
00603,11307.0,39.1,42.9,0.17179202894322226,122400,0.0029392005374538127
00606,5943.0,43.2,43.4,0.06886625332152348,91600,0.0
00610,10220.0,40.4,44.2,0.1303485702358589,88600,0.0027410320581575495
00612,10549.0,39.8,44.7,0.178190987933635,97800,0.008612568967837438
00616,9102.0,39.4,44.0,0.17217684428886296,96100,0.0
00617,9122.0,39.2,41.0,0.15722396714182169,106100,0.005153723120668207
00622,11749.0,50.3,53.3,0.1882307092751364,129700,0.0
00623,8857.0,41.2,42.3,0.20353449141480068,110500,0.0009175995595522114
00624,8696.0,37.6,38.1,0.18565511800670567,75800,0.0
00627,10252.0,39.5,42.8,0.16037652465971364,100200,0.001783166904422254
00631,7863.0,44.4,51.0,0.11175496688741722,84700,0.0
00637,9586.0,40.4,43.4,0.164863184079602,96600,0.00875
00638,8485.0,42.2,41.8,0.12017867880766257,92100,0.003427859146151449
00641,8739.0,42.5,43.6,0.14872506683117417,91800,0.0
00646,16462.0,39.0,40.9,0.21583326791741894,138700,0.004428621048975338
00647,7556.0,49.5,47.9,0.15926195678562757,89600,0.0
00650,8799.0,36.4,41.5,0.11013615733736762,93000,0.002082790939859412
00652,11156.0,39.7,39.9,0.1821011673151751,98700,0.0
00653,7366.0,37.4,42.6,0.10145879879090551,91400,0.000434593654932638
00656,8701.0,40.3,41.8,0.18213058419243985,80400,0.0
00659,10659.0,40.3,42.7,0.18020561073357727,93500,0.001421285845665078
00660,11874.0,43.6,48.1,0.1729026845637584,101600,0.025795356835769563
00662,9320.0,40.1,42.6,0.15890247329960652,106400,0.005411363864114641
00664,7501.0,36.3,40.3,0.12437562437562437,93900,0.0061180789232181095
00667,7268.0,43.2,46.7,0.11421170375603439,89000,0.0
00669,8779.0,40.9,43.5,0.15297826447652232,88000,0.005767382249279077
00670,7270.0,41.4,40.8,0.1341132587317735,83600,0.0004621072088724584
00674,10878.0,40.1,42.5,0.17612835615943337,107600,0.003906959840087225
00676,8802.0,38.8,40.0,0.1413322791065428,96500,0.001876392635158907
00677,11663.0,44.9,46.1,0.1812411179535765,121100,0.0
00678,9654.0,38.7,42.2,0.14291183548457667,107100,0.0
00680,10404.0,38.3,47.0,0.15474434225807465,90200,0.012579169598874033
00682,11102.0,33.7,39.9,0.20852941176470588,113400,0.013054482483015852
00683,9829.0,41.8,45.1,0.17391100262861434,91500,0.0038314176245210726
00685,8724.0,42.1,45.2,0.1471152427327726,97500,0.005327335148573458
00687,9715.0,36.8,39.2,0.13393450403417181,100300,0.007278703921108241
00688,9155.0,40.5,41.4,0.16926579396698918,96200,0.0
00690,11632.0,43.5,47.6,0.19572672118174625,114000,0.0
00692,11955.0,37.9,40.0,0.14522224960972804,116900,0.018334932309988273
00693,10536.0,39.2,41.9,0.1480643208674369,107300,0.00675017397355602
00694,6880.0,-666666666.0,-666666666.0,0.0,-666666666,
00698,8355.0,41.4,44.8,0.18941267387944358,92000,0.016781609195402298
00703,10040.0,39.3,43.1,0.1355210690807199,114500,0.023508866200967222
00704,7373.0,34.6,32.5,0.13637234246312968,77000,0.0
00705,10562.0,39.5,43.7,0.13796273596469724,114200,0.0019059720457433292
00707,9398.0,44.1,44.7,0.15604113110539847,89100,0.0
00714,8021.0,37.4,40.7,0.12190538442683226,88800,0.008185538881309686
00715,7114.0,43.1,43.4,0.081661222585161,81100,0.03125
00716,14616.0,39.0,47.3,0.2280727776129734,115400,0.001708185053380783
00717,9975.0,35.4,41.6,0.20489184995893037,105500,0.011689691817215728
00718,9329.0,37.0,38.3,0.1461811412948636,91400,0.003931847968545216
00719,9167.0,39.0,40.7,0.13629827953790472,90300,0.004468392692863714
00720,7914.0,37.8,40.3,0.12386770591952813,89900,0.007984969469234382
00723,9270.0,43.0,45.7,0.1301956978812874,92300,0.0
00725,13109.0,38.3,43.9,0.20304211894474303,123500,0.017507967108628085
00727,16733.0,38.0,40.7,0.23017519897034489,142600,0.00996792499383173
00728,9597.0,36.2,41.2,0.18933843831682803,98200,0.0
00729,11730.0,36.9,40.8,0.16019458664479452,110100,0.020056569812291078
00730,11224.0,38.4,43.8,0.16488004083716182,93900,0.006409417920209287
00731,10431.0,39.3,41.0,0.1681136543014996,80100,0.0
00735,12739.0,39.8,43.3,0.13484296768320436,92200,0.007664932931836847
00736,11996.0,41.7,43.9,0.16269876390241025,117700,0.007056307911617961
00738,11926.0,39.1,43.0,0.1892135899263483,101000,0.014367160775370582
00739,11112.0,37.9,40.4,0.16674643056552604,121300,0.008075117370892018
00740,6748.0,40.1,33.9,0.06464250734573947,66400,0.0
00741,10191.0,36.9,44.9,0.10383120488617435,83900,0.0
00745,11076.0,38.8,42.4,0.16753254008155968,114900,0.01426488302795917
00751,9556.0,39.3,43.9,0.13699195378584691,88000,0.00258493353028065
00754,10970.0,39.6,42.0,0.15106447229352257,108600,0.016063896616710042
00757,10895.0,35.7,39.3,0.1667237013209226,92400,0.0019254572961078255
00765,11174.0,41.0,45.5,0.14892237886890294,99900,0.0
00766,10631.0,37.0,40.2,0.16928548334949886,90800,0.0013944840409048653
00767,9144.0,39.9,43.7,0.15484895332804077,88100,0.0
00769,10774.0,38.9,42.1,0.16386569939119974,89000,0.0008281192491718807
00771,11157.0,38.5,39.7,0.14656736001234902,118200,0.0015189873417721519
00772,7934.0,38.0,40.1,0.09330072624870313,94900,0.07360715738104921
00773,11007.0,39.9,41.6,0.1424124513618677,110400,0.01230827494792653
00775,11658.0,43.5,37.6,0.11770833333333333,116700,0.0
00777,9414.0,37.5,39.2,0.14134551124972153,108600,0.0
00778,17457.0,38.6,38.7,0.22525830947342212,144000,0.006190338443737345
00780,14194.0,34.9,42.1,0.21825192802056556,101000,0.007769423558897243
00782,6747.0,37.0,38.7,0.0958848734740076,92000,0.012466389635785871
00783,7532.0,37.1,40.0,0.1248346998148638,89400,0.013242375601926164
00784,9889.0,35.4,42.0,0.16502890173410403,89200,0.009434973732175405
00786,14278.0,65.6,55.3,0.0,95700,0.0
00791,12288.0,40.2,43.9,0.17493419128400117,97400,0.0015868218225782076
00794,8221.0,34.5,37.5,0.136812486727543,101200,0.006751572809574957
00795,10398.0,37.1,39.4,0.19595536959553697,92700,0.007584860318413938
00901,30345.0,40.4,48.7,0.23514611960518675,267100,0.08418708240534521
00906,60330.0,40.4,31.9,0.24705882352941178,358500,0.0
00907,37067.0,46.5,50.4,0.25975673457204684,226400,0.07839363613035669
00909,14984.0,35.2,44.2,0.19190783928069682,137700,0.2024151811385854
00911,29751.0,41.0,51.6,0.33114812189936216,270600,0.09879379666858128
00912,17863.0,45.3,46.1,0.20902327813774899,134800,0.09342270632593214
00913,7597.0,22.0,27.7,0.09787234042553192,353700,0.21022727272727273
00915,9526.0,37.5,41.9,0.08619919606967397,88400,0.17269213278763074
00917,13838.0,44.2,49.7,0.15075340481019994,114700,0.10411045865735598
00918,21307.0,41.9,43.2,0.28282393456736976,173400,0.053972002023950076
00920,15060.0,41.1,49.4,0.22147327876745307,154000,0.03287092882991556
00921,13323.0,38.0,41.4,0.18164403388531777,139100,0.060253607345867946
00923,11039.0,36.0,44.7,0.14004519505233112,109800,0.11583760565331855
00924,13159.0,36.2,41.4,0.18728679337231968,131000,0.057063784923563524
00925,11992.0,39.9,31.0,0.19873102198051212,124600,0.2773972602739726
00926,23190.0,41.4,45.4,0.2633575174197256,172500,0.023856806206476552
00927,24936.0,38.7,50.5,0.3186406796601699,198800,0.003444976076555024
00934,16956.0,-666666666.0,-666666666.0,0.31666666666666665,-666666666,0.0
00936,7132.0,79.4,77.0,0.07901554404145078,-666666666,
00949,13582.0,38.1,42.4,0.205911959425452,131200,0.02788935202728306
00950,-666666666.0,-666666666.0,-666666666.0,,-666666666,
00951,-666666666.0,-666666666.0,-666666666.0,,-666666666,
00952,8660.0,40.6,43.0,0.10158564209792646,102900,0.0032388663967611335
00953,14447.0,36.8,38.9,0.2348155508632468,138100,0.013739110411789539
00956,12448.0,38.7,43.7,0.1828838639420921,125900,0.04128647574306622
00957,13557.0,36.6,45.2,0.19673640783851482,131300,0.037602265575833856
00959,16146.0,37.1,43.2,0.2546035381694343,139900,0.04172563820307176
00960,3069.0,32.6,66.4,0.01687289088863892,-666666666,
00961,16745.0,40.5,46.6,0.21363335539377895,152700,0.03310054529800057
00962,10157.0,35.6,39.6,0.10699241786015164,107400,0.08000700280112044
00965,12174.0,41.9,47.8,0.09988627748294163,94900,0.09587727708533078
00966,32873.0,37.4,49.1,0.3281451543554906,220800,0.01951298177713272
00968,41571.0,50.8,58.8,0.4038961038961039,229400,0.004210526315789474
00969,28160.0,38.8,44.2,0.3575433649211398,227500,0.029186206896551724
00971,14381.0,42.6,44.7,0.17127464931896727,126100,0.01986005350895246
00976,16454.0,38.2,42.7,0.24770930541788555,147000,0.010121091632026026
00979,30954.0,47.1,51.1,0.29805598755832036,171100,0.03763440860215054
00982,13553.0,40.7,46.6,0.2032551460028722,139400,0.049563922569666026
00983,13801.0,40.2,43.0,0.21747959056814886,138700,0.017733530372559696
00985,13550.0,38.4,46.3,0.16699827563337313,136200,0.01929538254775847
00987,16641.0,37.5,41.4,0.2426404767385355,146800,0.013623848855976456
01001,35135.0,43.0,48.8,0.19255256144506958,213000,0.009139723523363417
01002,29499.0,23.3,23.7,0.2555387168939886,355600,0.10640564655746437
01003,4590.0,19.9,20.1,0.11016949152542373,-666666666,0.029775280898876405
01005,35190.0,48.4,47.5,0.17231717567946203,231000,0.0
01007,42021.0,39.6,46.0,0.24426877470355732,272500,0.005864414731409805
01008,36847.0,53.3,51.7,0.19810326659641728,231700,0.0
01009,32651.0,34.8,58.2,0.3383838383838384,227800,0.0
01010,38489.0,46.4,48.1,0.19265394310406914,272600,0.0
01011,30923.0,47.5,45.2,0.11840888066604996,202100,0.0
01012,37325.0,45.8,55.5,0.1583710407239819,255400,0.0
01013,23656.0,34.0,36.9,0.11769326438436865,175600,0.015285756012072826
01020,30280.0,43.5,45.1,0.11747542308210261,182600,0.006496089089221795
01022,24254.0,27.7,48.8,0.14704010184595798,122800,0.008686210640608035
01026,32310.0,49.7,51.6,0.2352112676056338,244300,0.020785219399538105
01027,37036.0,44.8,46.2,0.22008608321377332,257200,0.020896122161944947
01028,39074.0,44.5,47.0,0.24681778552746295,266600,0.01070635853244549
01029,36045.0,45.5,45.1,0.2445759368836292,245000,0.0
01030,36883.0,47.5,48.6,0.23236009732360097,243000,0.0
01031,27298.0,34.0,41.0,0.19883040935672514,180800,0.0
01032,34264.0,54.3,48.3,0.23690773067331672,266000,0.013114754098360656
01033,42852.0,44.0,48.4,0.2684065351156376,253900,0.006858710562414266
01034,37270.0,45.9,47.1,0.20743034055727555,275400,0.0068669527896995704
01035,43529.0,48.0,51.9,0.27209580838323355,329900,0.006495987772258311
01036,40873.0,49.5,51.6,0.18341061308603812,282900,0.003539127015336217
01037,36432.0,30.9,46.5,0.1908548707753479,294200,0.0
01038,38827.0,49.9,51.0,0.2252212389380531,299400,0.007893139040680024
01039,48914.0,52.1,56.0,0.21630804077010193,286600,0.008090614886731391
01040,23385.0,33.0,37.2,0.1412685337726524,188900,0.017805232558139535
01050,32499.0,41.9,46.1,0.19593450028232637,210900,0.0
01053,31903.0,44.5,60.5,0.21135175504107542,267000,0.0676056338028169
01054,48512.0,47.2,51.3,0.23729946524064172,337600,0.007766990291262136
01056,32772.0,42.6,46.9,0.16109672120790952,230700,0.00623599337425704
01057,38217.0,45.9,47.6,0.15774865073245953,242000,0.0
01060,36203.0,39.9,32.0,0.26547120163726734,340500,0.029544913033118896
01062,38324.0,42.0,45.3,0.25186170212765957,316500,0.013967611336032389
01063,3532.0,20.7,20.4,,-666666666,0.037037037037037035
01068,36408.0,48.4,47.1,0.21189591078066913,284500,0.006930693069306931
01069,32269.0,45.7,47.4,0.1861934125432396,200900,0.0
01070,30898.0,48.6,51.0,0.16741071428571427,233000,0.015151515151515152
01071,33627.0,46.4,47.3,0.15193965517241378,216400,0.0
01072,38304.0,46.7,46.7,0.26835902085222124,278800,0.0
01073,46378.0,45.6,45.9,0.17609634174051353,325400,0.0
01074,19979.0,35.3,33.4,0.19736842105263158,-666666666,0.0
01075,32510.0,44.5,36.7,0.2001362049885077,235900,0.012452211906062261
01077,38181.0,47.7,47.5,0.19280817126066882,289800,0.0030004286326618087
01079,33286.0,43.9,51.2,0.2912621359223301,184600,0.0
01080,24455.0,29.5,36.5,0.11754780652418448,163700,0.0
01081,27940.0,42.8,42.1,0.12574404761904762,190800,0.0
01082,30050.0,43.4,43.2,0.16372828623282343,193700,0.00020990764063811922
01083,28374.0,42.8,40.7,0.17536436295251528,217400,0.0
01084,48133.0,53.3,49.5,0.2558139534883721,266700,0.0
01085,31563.0,36.7,42.4,0.2125964104251197,228900,0.005430676237249717
01086,2380.0,19.4,19.0,,-666666666,0.0
01088,29031.0,41.8,42.4,0.2750809061488673,279500,0.0
01089,31135.0,38.0,40.0,0.18954148914587138,222000,0.015045064225392094
01092,34723.0,31.9,40.2,0.3284365162644281,216100,0.0
01093,56122.0,47.7,51.5,0.375609756097561,349000,0.0
