zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Male.1,Bachelor's degree > 25,Public transportation
602,Zip,AL,Auburn,Auburn-Opelika,Lee County,114105.25,9277,41.9,42.8,0.134690453,0.002796225
606,Zip,MO,Neosho,Joplin,Newton County,59377.75,5943,43.2,43.4,0.068866253,0
610,Zip,KY,Anasco,,Pike County,108219.5833,10220,40.4,44.2,0.13034857,0.002741032
617,Zip,AL,Imbery,Enterprise,Coffee County,101022,9122,39.2,41,0.157223967,0.005153723
693,Zip,PA,Greensburg,Pittsburgh,Westmoreland County,330761.5,10536,39.2,41.9,0.148064321,0.006750174
705,Zip,UT,Aibonito,,Kane County,129276.0833,10562,39.5,43.7,0.137962736,0.001905972
765,Zip,CO,Ohio City,,Gunnison County,124190.5833,11174,41,45.5,0.148922379,0
791,Zip,NM,Humacao,Las Vegas,San Miguel County,244819.75,12288,40.2,43.9,0.174934191,0.001586822
917,Zip,UT,San Juan,,Kane County,348312.75,13838,44.2,49.7,0.150753405,0.104110459
1001,Zip,MA,Agawam,Springfield,Hampden County,214379.3333,35135,43,48.8,0.192552561,0.009139724
1002,Zip,MA,Amherst,Springfield,Hampshire County,333981.8333,29499,23.3,23.7,0.255538717,0.106405647
1003,Zip,MA,Amherst,Springfield,Hampshire County,272621.9167,4590,19.9,20.1,0.110169492,0.029775281
1005,Zip,MA,Barre,Worcester,Worcester County,231814.4167,35190,48.4,47.5,0.172317176,0
1007,Zip,MA,Belchertown,Springfield,Hampshire County,284093.1667,42021,39.6,46,0.244268775,0.005864415
1008,Zip,MA,Blandford,Springfield,Hampden County,231081.1667,36847,53.3,51.7,0.198103267,0
1009,Zip,TX,Nome,Beaumont-Port Arthur,Jefferson County,176413.9167,32651,34.8,58.2,0.338383838,0
1010,Zip,MA,Brimfield,Springfield,Hampden County,260012.75,38489,46.4,48.1,0.192653943,0
1011,Zip,MA,Chester,Springfield,Hampden County,170112.75,30923,47.5,45.2,0.118408881,0
1012,Zip,MA,Chesterfield,Springfield,Hampshire County,248846.75,37325,45.8,55.5,0.158371041,0
1013,Zip,MA,Chicopee,Springfield,Hampden County,187029.4167,23656,34,36.9,0.117693264,0.015285756
1020,Zip,MA,Chicopee,Springfield,Hampden County,197655.75,30280,43.5,45.1,0.117475423,0.006496089
1022,Zip,MA,Chicopee,Springfield,Hampden County,126611.4167,24254,27.7,48.8,0.147040102,0.008686211
1026,Zip,MA,Cummington,Springfield,Hampshire County,235990.6667,32310,49.7,51.6,0.235211268,0.020785219
1027,Zip,MA,Easthampton,Springfield,Hampshire County,270128.0833,37036,44.8,46.2,0.220086083,0.020896122
1028,Zip,MA,East Longmeadow,Springfield,Hampden County,272371.5,39074,44.5,47,0.246817786,0.010706359
1029,Zip,MA,Otis,Pittsfield,Berkshire County,232648.5,36045,45.5,45.1,0.244575937,0
1030,Zip,MA,Agawam,Springfield,Hampden County,251308.5833,36883,47.5,48.6,0.232360097,0
1031,Zip,MA,Hardwick,Worcester,Worcester County,240699.4167,27298,34,41,0.198830409,0
1032,Zip,MA,Goshen,Springfield,Hampshire County,259662,34264,54.3,48.3,0.236907731,0.013114754
1033,Zip,MA,Granby,Springfield,Hampshire County,252182.5833,42852,44,48.4,0.268406535,0.006858711
1034,Zip,MA,Tolland,Springfield,Hampden County,273651.25,37270,45.9,47.1,0.207430341,0.006866953
