,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
2295,10001,Zip,NY,New York,New York-Newark-Jersey City,New York County,1020844.25,84765.0,40.1,34.3,0.37864887399999997,0.49660007
2296,10002,Zip,NY,New York,New York-Newark-Jersey City,New York County,852256.5,32694.0,40.7,46.0,0.218526031,0.545787099
2297,10003,Zip,NY,New York,New York-Newark-Jersey City,New York County,1089362.0829999999,92781.0,33.3,30.7,0.424390627,0.511293442
2298,10004,Zip,NY,New York,New York-Newark-Jersey City,New York County,1090451.8329999999,122165.0,38.3,37.0,0.47506870799999995,0.543341404
2299,10005,Zip,NY,New York,New York-Newark-Jersey City,New York County,1136309.0829999999,106702.0,30.4,29.9,0.484512602,0.628490369
2300,10006,Zip,NY,New York,New York-Newark-Jersey City,New York County,886169.4167,114611.0,33.2,30.5,0.505730129,0.565268065
2301,10007,Zip,NY,New York,New York-Newark-Jersey City,New York County,2752046.667,147547.0,35.9,36.2,0.426263385,0.5538945710000001
2302,10009,Zip,NY,New York,New York-Newark-Jersey City,New York County,843438.4167,51655.0,35.1,38.8,0.37646434700000003,0.590406256
2303,10010,Zip,NY,New York,New York-Newark-Jersey City,New York County,926539.25,93605.0,35.4,33.4,0.36988194399999996,0.555814745
2304,10011,Zip,NY,New York,New York-Newark-Jersey City,New York County,1173931.8329999999,121991.0,41.4,39.1,0.410526564,0.552621194
2305,10012,Zip,NY,New York,New York-Newark-Jersey City,New York County,1739318.25,90389.0,34.7,33.3,0.445065379,0.511092851
2306,10013,Zip,NY,New York,New York-Newark-Jersey City,New York County,2956431.0,111109.0,37.7,38.3,0.363111587,0.453212564
2307,10014,Zip,NY,New York,New York-Newark-Jersey City,New York County,1216797.25,123235.0,40.3,36.3,0.45109450700000003,0.53082899
2308,10016,Zip,NY,New York,New York-Newark-Jersey City,New York County,830070.25,98378.0,33.6,33.3,0.434709821,0.400467358
2309,10017,Zip,NY,New York,New York-Newark-Jersey City,New York County,665418.1667,111185.0,38.8,41.9,0.458979067,0.388197621
2310,10018,Zip,NY,New York,New York-Newark-Jersey City,New York County,1025007.083,86150.0,34.7,31.4,0.35398773,0.45035136
2311,10019,Zip,NY,New York,New York-Newark-Jersey City,New York County,1157362.9170000001,97327.0,39.7,39.1,0.368919857,0.448993125
