zipcode,Income per capita,Median Age Male,Median Age Male,Bachelor's degree > 25,Median Home Value,Public transportation
00601,6999,39.5,41.3,0.150447711,86200,0
00602,9277,41.9,42.8,0.134690453,86300,0.002796225
00603,11307,39.1,42.9,0.171792029,122400,0.002939201
00606,5943,43.2,43.4,0.068866253,91600,0
00610,10220,40.4,44.2,0.13034857,88600,0.002741032
00612,10549,39.8,44.7,0.178190988,97800,0.008612569
00616,9102,39.4,44,0.172176844,96100,0
00617,9122,39.2,41,0.157223967,106100,0.005153723
00622,11749,50.3,53.3,0.188230709,129700,0
00623,8857,41.2,42.3,0.203534491,110500,0.0009176
00624,8696,37.6,38.1,0.185655118,75800,0
00627,10252,39.5,42.8,0.160376525,100200,0.001783167
00631,7863,44.4,51,0.111754967,84700,0
00637,9586,40.4,43.4,0.164863184,96600,0.00875
00638,8485,42.2,41.8,0.120178679,92100,0.003427859
00641,8739,42.5,43.6,0.148725067,91800,0
00646,16462,39,40.9,0.215833268,138700,0.004428621
00647,7556,49.5,47.9,0.159261957,89600,0
00650,8799,36.4,41.5,0.110136157,93000,0.002082791
00652,11156,39.7,39.9,0.182101167,98700,0
00653,7366,37.4,42.6,0.101458799,91400,0.000434594
00656,8701,40.3,41.8,0.182130584,80400,0
00659,10659,40.3,42.7,0.180205611,93500,0.001421286
00660,11874,43.6,48.1,0.172902685,101600,0.025795357
00662,9320,40.1,42.6,0.158902473,106400,0.005411364
00664,7501,36.3,40.3,0.124375624,93900,0.006118079
00667,7268,43.2,46.7,0.114211704,89000,0
00669,8779,40.9,43.5,0.152978264,88000,0.005767382
00670,7270,41.4,40.8,0.134113259,83600,0.000462107
00674,10878,40.1,42.5,0.176128356,107600,0.00390696
00676,8802,38.8,40,0.141332279,96500,0.001876393
00677,11663,44.9,46.1,0.181241118,121100,0
00678,9654,38.7,42.2,0.142911835,107100,0
00680,10404,38.3,47,0.154744342,90200,0.01257917
00682,11102,33.7,39.9,0.208529412,113400,0.013054482
00683,9829,41.8,45.1,0.173911003,91500,0.003831418
00685,8724,42.1,45.2,0.147115243,97500,0.005327335
00687,9715,36.8,39.2,0.133934504,100300,0.007278704
00688,9155,40.5,41.4,0.169265794,96200,0
00690,11632,43.5,47.6,0.195726721,114000,0
00692,11955,37.9,40,0.14522225,116900,0.018334932
00693,10536,39.2,41.9,0.148064321,107300,0.006750174
00694,6880,-666666666,-666666666,0,-666666666,
00698,8355,41.4,44.8,0.189412674,92000,0.016781609
00703,10040,39.3,43.1,0.135521069,114500,0.023508866
00704,7373,34.6,32.5,0.136372342,77000,0
00705,10562,39.5,43.7,0.137962736,114200,0.001905972
00707,9398,44.1,44.7,0.156041131,89100,0
00714,8021,37.4,40.7,0.121905384,88800,0.008185539
00715,7114,43.1,43.4,0.081661223,81100,0.03125
00716,14616,39,47.3,0.228072778,115400,0.001708185
00717,9975,35.4,41.6,0.20489185,105500,0.011689692
00718,9329,37,38.3,0.146181141,91400,0.003931848
00719,9167,39,40.7,0.13629828,90300,0.004468393
00720,7914,37.8,40.3,0.123867706,89900,0.007984969
00723,9270,43,45.7,0.130195698,92300,0
00725,13109,38.3,43.9,0.203042119,123500,0.017507967
00727,16733,38,40.7,0.230175199,142600,0.009967925
00728,9597,36.2,41.2,0.189338438,98200,0
00729,11730,36.9,40.8,0.160194587,110100,0.02005657
00730,11224,38.4,43.8,0.164880041,93900,0.006409418
00731,10431,39.3,41,0.168113654,80100,0
00735,12739,39.8,43.3,0.134842968,92200,0.007664933
00736,11996,41.7,43.9,0.162698764,117700,0.007056308
00738,11926,39.1,43,0.18921359,101000,0.014367161
00739,11112,37.9,40.4,0.166746431,121300,0.008075117
00740,6748,40.1,33.9,0.064642507,66400,0
00741,10191,36.9,44.9,0.103831205,83900,0
00745,11076,38.8,42.4,0.16753254,114900,0.014264883
00751,9556,39.3,43.9,0.136991954,88000,0.002584934
00754,10970,39.6,42,0.151064472,108600,0.016063897
00757,10895,35.7,39.3,0.166723701,92400,0.001925457
00765,11174,41,45.5,0.148922379,99900,0
00766,10631,37,40.2,0.169285483,90800,0.001394484
00767,9144,39.9,43.7,0.154848953,88100,0
00769,10774,38.9,42.1,0.163865699,89000,0.000828119
00771,11157,38.5,39.7,0.14656736,118200,0.001518987
00772,7934,38,40.1,0.093300726,94900,0.073607157
00773,11007,39.9,41.6,0.142412451,110400,0.012308275
00775,11658,43.5,37.6,0.117708333,116700,0
00777,9414,37.5,39.2,0.141345511,108600,0
00778,17457,38.6,38.7,0.225258309,144000,0.006190338
00780,14194,34.9,42.1,0.218251928,101000,0.007769424
00782,6747,37,38.7,0.095884873,92000,0.01246639
00783,7532,37.1,40,0.1248347,89400,0.013242376
00784,9889,35.4,42,0.165028902,89200,0.009434974
00786,14278,65.6,55.3,0,95700,0
00791,12288,40.2,43.9,0.174934191,97400,0.001586822
00794,8221,34.5,37.5,0.136812487,101200,0.006751573
00795,10398,37.1,39.4,0.19595537,92700,0.00758486
00901,30345,40.4,48.7,0.23514612,267100,0.084187082
00906,60330,40.4,31.9,0.247058824,358500,0
00907,37067,46.5,50.4,0.259756735,226400,0.078393636
00909,14984,35.2,44.2,0.191907839,137700,0.202415181
00911,29751,41,51.6,0.331148122,270600,0.098793797
00912,17863,45.3,46.1,0.209023278,134800,0.093422706
00913,7597,22,27.7,0.09787234,353700,0.210227273
00915,9526,37.5,41.9,0.086199196,88400,0.172692133
00917,13838,44.2,49.7,0.150753405,114700,0.104110459
00918,21307,41.9,43.2,0.282823935,173400,0.053972002
00920,15060,41.1,49.4,0.221473279,154000,0.032870929
00921,13323,38,41.4,0.181644034,139100,0.060253607
00923,11039,36,44.7,0.140045195,109800,0.115837606
00924,13159,36.2,41.4,0.187286793,131000,0.057063785
00925,11992,39.9,31,0.198731022,124600,0.27739726
00926,23190,41.4,45.4,0.263357517,172500,0.023856806
00927,24936,38.7,50.5,0.31864068,198800,0.003444976
00934,16956,-666666666,-666666666,0.316666667,-666666666,0
00936,7132,79.4,77,0.079015544,-666666666,
00949,13582,38.1,42.4,0.205911959,131200,0.027889352
00950,-666666666,-666666666,-666666666,,-666666666,
00951,-666666666,-666666666,-666666666,,-666666666,
00952,8660,40.6,43,0.101585642,102900,0.003238866
00953,14447,36.8,38.9,0.234815551,138100,0.01373911
00956,12448,38.7,43.7,0.182883864,125900,0.041286476
00957,13557,36.6,45.2,0.196736408,131300,0.037602266
00959,16146,37.1,43.2,0.254603538,139900,0.041725638
00960,3069,32.6,66.4,0.016872891,-666666666,
00961,16745,40.5,46.6,0.213633355,152700,0.033100545
00962,10157,35.6,39.6,0.106992418,107400,0.080007003
00965,12174,41.9,47.8,0.099886277,94900,0.095877277
00966,32873,37.4,49.1,0.328145154,220800,0.019512982
00968,41571,50.8,58.8,0.403896104,229400,0.004210526
00969,28160,38.8,44.2,0.357543365,227500,0.029186207
00971,14381,42.6,44.7,0.171274649,126100,0.019860054
00976,16454,38.2,42.7,0.247709305,147000,0.010121092
00979,30954,47.1,51.1,0.298055988,171100,0.037634409
00982,13553,40.7,46.6,0.203255146,139400,0.049563923
00983,13801,40.2,43,0.217479591,138700,0.01773353
00985,13550,38.4,46.3,0.166998276,136200,0.019295383
00987,16641,37.5,41.4,0.242640477,146800,0.013623849
01001,35135,43,48.8,0.192552561,213000,0.009139724
01002,29499,23.3,23.7,0.255538717,355600,0.106405647
01003,4590,19.9,20.1,0.110169492,-666666666,0.029775281
01005,35190,48.4,47.5,0.172317176,231000,0
01007,42021,39.6,46,0.244268775,272500,0.005864415
01008,36847,53.3,51.7,0.198103267,231700,0
01009,32651,34.8,58.2,0.338383838,227800,0
01010,38489,46.4,48.1,0.192653943,272600,0
01011,30923,47.5,45.2,0.118408881,202100,0
01012,37325,45.8,55.5,0.158371041,255400,0
01013,23656,34,36.9,0.117693264,175600,0.015285756
01020,30280,43.5,45.1,0.117475423,182600,0.006496089
01022,24254,27.7,48.8,0.147040102,122800,0.008686211
01026,32310,49.7,51.6,0.235211268,244300,0.020785219
01027,37036,44.8,46.2,0.220086083,257200,0.020896122
01028,39074,44.5,47,0.246817786,266600,0.010706359
01029,36045,45.5,45.1,0.244575937,245000,0
01030,36883,47.5,48.6,0.232360097,243000,0
01031,27298,34,41,0.198830409,180800,0
01032,34264,54.3,48.3,0.236907731,266000,0.013114754
01033,42852,44,48.4,0.268406535,253900,0.006858711
01034,37270,45.9,47.1,0.207430341,275400,0.006866953
01035,43529,48,51.9,0.272095808,329900,0.006495988
01036,40873,49.5,51.6,0.183410613,282900,0.003539127
01037,36432,30.9,46.5,0.190854871,294200,0
01038,38827,49.9,51,0.225221239,299400,0.007893139
01039,48914,52.1,56,0.216308041,286600,0.008090615
01040,23385,33,37.2,0.141268534,188900,0.017805233
01050,32499,41.9,46.1,0.1959345,210900,0
01053,31903,44.5,60.5,0.211351755,267000,0.067605634
01054,48512,47.2,51.3,0.237299465,337600,0.00776699
01056,32772,42.6,46.9,0.161096721,230700,0.006235993
01057,38217,45.9,47.6,0.157748651,242000,0
01060,36203,39.9,32,0.265471202,340500,0.029544913
01062,38324,42,45.3,0.251861702,316500,0.013967611
01063,3532,20.7,20.4,,-666666666,0.037037037
01068,36408,48.4,47.1,0.211895911,284500,0.006930693
01069,32269,45.7,47.4,0.186193413,200900,0
01070,30898,48.6,51,0.167410714,233000,0.015151515
01071,33627,46.4,47.3,0.151939655,216400,0
01072,38304,46.7,46.7,0.268359021,278800,0
01073,46378,45.6,45.9,0.176096342,325400,0
01074,19979,35.3,33.4,0.197368421,-666666666,0
01075,32510,44.5,36.7,0.200136205,235900,0.012452212
01077,38181,47.7,47.5,0.192808171,289800,0.003000429
01079,33286,43.9,51.2,0.291262136,184600,0
01080,24455,29.5,36.5,0.117547807,163700,0
01081,27940,42.8,42.1,0.125744048,190800,0
01082,30050,43.4,43.2,0.163728286,193700,0.000209908
01083,28374,42.8,40.7,0.175364363,217400,0
01084,48133,53.3,49.5,0.255813953,266700,0
01085,31563,36.7,42.4,0.21259641,228900,0.005430676
01086,2380,19.4,19,,-666666666,0
01088,29031,41.8,42.4,0.275080906,279500,0
01089,31135,38,40,0.189541489,222000,0.015045064
01092,34723,31.9,40.2,0.328436516,216100,0
01093,56122,47.7,51.5,0.375609756,349000,0
01094,29900,67.1,65.2,0.102040816,183300,0
01095,48112,47.5,47.1,0.26274003,299900,0.006622517
01096,41671,40.6,48.2,0.223523422,282200,0.001992032
01097,13193,0,17.9,0.125,-666666666,0
01098,42880,51.1,50.4,0.198473282,275500,0.010086455
01103,22689,30.9,45,0.096275072,119900,0.099385246
01104,20132,34.8,35.9,0.090079286,138200,0.059362724
01105,13698,29.1,33.3,0.066914006,142000,0.102634468
01106,55368,44.6,46.9,0.319380682,336400,0.00485306
01107,14816,23.7,30,0.072563814,159900,0.082281953
01108,20693,31,33.9,0.101992966,156700,0.058966989
01109,15676,25,31.6,0.103931204,132300,0.046155249
01118,30775,33.8,40.5,0.195878312,164700,0.006904955
