zipcode,State,City,Metro,CountyName,Average RE Prices
00501,NY,Holtsville,New York-Newark-Jersey City,Suffolk County,128202.9167
00602,AL,Auburn,Auburn-Opelika,Lee County,114105.25
00605,AL,Aguadilla,Dothan,Houston County,78791.83333
00606,MO,Neosho,Joplin,Newton County,59377.75
00610,KY,Anasco,,Pike County,108219.5833
00617,AL,Imbery,Enterprise,Coffee County,101022
00693,PA,Greensburg,Pittsburgh,Westmoreland County,330761.5
00705,UT,Aibonito,,Kane County,129276.0833
00734,TX,Ponce,Midland,Midland County,320697.3333
00742,CO,Ceiba,,Gunnison County,303938.25
00765,CO,Ohio City,,Gunnison County,124190.5833
00791,NM,Humacao,Las Vegas,San Miguel County,244819.75
00820,LA,Choudrant,Ruston,Lincoln Parish,224375.3333
00822,LA,Choudrant,Ruston,Lincoln Parish,178884.1667
00917,UT,San Juan,,Kane County,348312.75
01001,MA,Agawam,Springfield,Hampden County,214379.3333
01002,MA,Amherst,Springfield,Hampshire County,333981.8333
01003,MA,Amherst,Springfield,Hampshire County,272621.9167
01005,MA,Barre,Worcester,Worcester County,231814.4167
01007,MA,Belchertown,Springfield,Hampshire County,284093.1667
01008,MA,Blandford,Springfield,Hampden County,231081.1667
01009,TX,Nome,Beaumont-Port Arthur,Jefferson County,176413.9167
01010,MA,Brimfield,Springfield,Hampden County,260012.75
01011,MA,Chester,Springfield,Hampden County,170112.75
01012,MA,Chesterfield,Springfield,Hampshire County,248846.75
01013,MA,Chicopee,Springfield,Hampden County,187029.4167
01020,MA,Chicopee,Springfield,Hampden County,197655.75
01022,MA,Chicopee,Springfield,Hampden County,126611.4167
01026,MA,Cummington,Springfield,Hampshire County,235990.6667
01027,MA,Easthampton,Springfield,Hampshire County,270128.0833
01028,MA,East Longmeadow,Springfield,Hampden County,272371.5
01029,MA,Otis,Pittsfield,Berkshire County,232648.5
01030,MA,Agawam,Springfield,Hampden County,251308.5833
01031,MA,Hardwick,Worcester,Worcester County,240699.4167
01032,MA,Goshen,Springfield,Hampshire County,259662
01033,MA,Granby,Springfield,Hampshire County,252182.5833
01034,MA,Tolland,Springfield,Hampden County,273651.25
01035,MA,Hadley,Springfield,Hampshire County,350874.0833
01036,MA,Hampden,Springfield,Hampden County,277753.8333
01037,MA,Hardwick,Worcester,Worcester County,288357.6667
01038,MA,Hatfield,Springfield,Hampshire County,306910.9167
01039,MA,Williamsburg,Springfield,Hampshire County,326423.9167
01040,MA,Holyoke,Springfield,Hampden County,196440.5
01050,MA,Huntington,Springfield,Hampshire County,217639.8333
01053,MA,Northampton,Springfield,Hampshire County,265297.4167
01054,MA,Leverett,Greenfield Town,Franklin County,335247.75
01056,MA,Ludlow,Springfield,Hampden County,229959.5833
01057,MA,Monson,Springfield,Hampden County,247710.1667
01060,MA,Northampton,Springfield,Hampshire County,299822.5833
01062,MA,Northampton,Springfield,Hampshire County,281380.4167
01063,MA,Northampton,Springfield,Hampshire County,597977.1667
01066,MA,Hatfield,Springfield,Hampshire County,321539.4167
01068,MA,Oakham,Worcester,Worcester County,280850.6667
01069,MA,Palmer,Springfield,Hampden County,201264.4167
01070,MA,Plainfield,Springfield,Hampshire County,213918.3333
01071,MA,Russell,Springfield,Hampden County,212519
01072,MA,Shutesbury,Greenfield Town,Franklin County,266039.25
01073,MA,Southampton,Springfield,Hampshire County,307768.3333
01075,MA,South Hadley,Springfield,Hampshire County,246833.5
01077,MA,Southwick,Springfield,Hampden County,259556.6667
01080,MA,Palmer,Springfield,Hampden County,179297.3333
01081,MA,Wales,Springfield,Hampden County,201680.5833
01082,MA,Ware,Springfield,Hampshire County,204626.4167
01083,MA,Warren,Worcester,Worcester County,220110.0833
01084,MA,Chesterfield,Springfield,Hampshire County,277982.5833
01085,MA,Westfield,Springfield,Hampden County,240342.25
01088,MA,Hatfield,Springfield,Hampshire County,327794
01089,MA,West Springfield,Springfield,Hampden County,228685.8333
01092,MA,Warren,Worcester,Worcester County,202147.5833
01093,MA,Whately,Greenfield Town,Franklin County,318101.5
01094,MA,Hardwick,Worcester,Worcester County,267943.8333
01095,MA,Wilbraham,Springfield,Hampden County,296172.9167
01096,MA,Williamsburg,Springfield,Hampshire County,275154.9167
01097,MA,Russell,Springfield,Hampden County,161540.6667
01098,MA,Worthington,Springfield,Hampshire County,246659.25
01101,MA,Springfield,Springfield,Hampden County,162132.3333
01103,MA,Springfield,Springfield,Hampden County,65149.75
01104,MA,Springfield,Springfield,Hampden County,149189.6667
01105,MA,Springfield,Springfield,Hampden County,115535.4167
01106,MA,Longmeadow,Springfield,Hampden County,352977.8333
01107,MA,Springfield,Springfield,Hampden County,156128.75
01108,MA,Springfield,Springfield,Hampden County,164208.8333
01109,MA,Springfield,Springfield,Hampden County,142823.1667
01118,MA,Springfield,Springfield,Hampden County,182078.75
01119,MA,Springfield,Springfield,Hampden County,168531.6667
01128,MA,Springfield,Springfield,Hampden County,192245.5
01129,MA,Springfield,Springfield,Hampden County,181972.75
01151,MA,Springfield,Springfield,Hampden County,149525.8333
01201,MA,Pittsfield,Pittsfield,Berkshire County,174194.9167
01202,MA,Pittsfield,Pittsfield,Berkshire County,186196.25
01220,MA,Adams,Pittsfield,Berkshire County,146427.3333
01222,MA,Sheffield,Pittsfield,Berkshire County,265341.5
01223,MA,Becket,Pittsfield,Berkshire County,228513.8333
01224,MA,Lanesboro,Pittsfield,Berkshire County,174453.3333
01225,MA,Cheshire,Pittsfield,Berkshire County,207145.5
01226,MA,Dalton,Pittsfield,Berkshire County,198615.25
01230,MA,Great Barrington,Pittsfield,Berkshire County,375849.25
01235,MA,Hinsdale,Pittsfield,Berkshire County,221953
01236,MA,West Stockbridge,Pittsfield,Berkshire County,372405.9167
01237,MA,Lanesboro,Pittsfield,Berkshire County,231596.25
01238,MA,Lee,Pittsfield,Berkshire County,249393.8333
01240,MA,Lenox,Pittsfield,Berkshire County,340093
01242,MA,Lenox,Pittsfield,Berkshire County,202413.4167
01243,MA,Middlefield,Springfield,Hampshire County,221920.8333
01245,MA,Monterey,Pittsfield,Berkshire County,469050.9167
01247,MA,North Adams,Pittsfield,Berkshire County,142420.4167
01253,MA,Otis,Pittsfield,Berkshire County,282589.3333
01254,MA,Richmond,Pittsfield,Berkshire County,410024.1667
01255,MA,Sandisfield,Pittsfield,Berkshire County,275834.4167
01256,MA,Savoy,Pittsfield,Berkshire County,180633.5
01257,MA,Sheffield,Pittsfield,Berkshire County,348713.6667
01258,MA,Mount Washington,Pittsfield,Berkshire County,496021.5
01259,MA,New Marlborough,Pittsfield,Berkshire County,321820.9167
01262,MA,Stockbridge,Pittsfield,Berkshire County,430483.3333
01264,MA,Tyringham,Pittsfield,Berkshire County,422034.9167
01266,MA,West Stockbridge,Pittsfield,Berkshire County,414393.0833
01267,MA,Williamstown,Pittsfield,Berkshire County,305498.1667
01270,MA,Windsor,Pittsfield,Berkshire County,213627.3333
01301,MA,Greenfield,Greenfield Town,Franklin County,204688.4167
01330,MA,Ashfield,Greenfield Town,Franklin County,275003.4167
01331,MA,Athol,Worcester,Worcester County,179593.6667
01337,MA,Bernardston,Greenfield Town,Franklin County,236029.75
01338,MA,Buckland,Greenfield Town,Franklin County,230754.0833
01339,MA,Charlemont,Greenfield Town,Franklin County,221255.5833
01340,MA,Colrain,Greenfield Town,Franklin County,194818.25
01341,MA,Conway,Greenfield Town,Franklin County,307217.5
01342,MA,Deerfield,Greenfield Town,Franklin County,296414.25
01343,MA,Florida,Pittsfield,Berkshire County,191383.8333
01344,MA,Erving,Greenfield Town,Franklin County,200456.1667
01346,MA,Heath,Greenfield Town,Franklin County,201053.6667
01347,MA,Montague,Greenfield Town,Franklin County,128672
01349,MA,Millers Falls,Greenfield Town,Franklin County,189916.3333
01350,MA,Monroe,Greenfield Town,Franklin County,116690.3333
01351,MA,Montague,Greenfield Town,Franklin County,251824.5
01354,MA,Gill,Greenfield Town,Franklin County,224432.8333
01355,MA,New Salem,Greenfield Town,Franklin County,237362.25
01360,MA,Northfield,Greenfield Town,Franklin County,234292.6667
01364,MA,Orange,Greenfield Town,Franklin County,164666.1667
01366,MA,Petersham,Worcester,Worcester County,268623.5833
01367,MA,Rowe,Greenfield Town,Franklin County,218838
01368,MA,Royalston,Worcester,Worcester County,234807
01370,MA,Shelburne,Greenfield Town,Franklin County,260931.5
01373,MA,South Deerfield,Greenfield Town,Franklin County,283669.4167
01375,MA,Sunderland,Greenfield Town,Franklin County,313934
01376,MA,Turners Falls,Greenfield Town,Franklin County,194540.3333
01378,MA,Warwick,Greenfield Town,Franklin County,195920.1667
01379,MA,Wendell,Greenfield Town,Franklin County,199664
01420,MA,Fitchburg,Worcester,Worcester County,212747.75
01430,MA,Ashburnham,Worcester,Worcester County,269312.5
01431,MA,Ashby,Boston-Cambridge-Newton,Middlesex County,276002.1667
01432,MA,Ayer,Boston-Cambridge-Newton,Middlesex County,351473.1667
01434,MA,Devens,Worcester,Worcester County,358382.1667
01436,MA,Baldwinville,Worcester,Worcester County,237699.0833
01440,MA,Gardner,Worcester,Worcester County,201154.9167
01450,MA,Groton,Boston-Cambridge-Newton,Middlesex County,483576.75
01451,MA,Harvard,Worcester,Worcester County,634110.1667
01452,MA,Hubbardston,Worcester,Worcester County,273428.5833
01453,MA,Leominster,Worcester,Worcester County,265002.9167
01460,MA,Littleton,Boston-Cambridge-Newton,Middlesex County,480400.6667
01462,MA,Lunenburg,Worcester,Worcester County,320565.8333
01463,MA,Pepperell,Boston-Cambridge-Newton,Middlesex County,361216
01464,MA,Shirley,Boston-Cambridge-Newton,Middlesex County,337076.4167
01468,MA,Templeton,Worcester,Worcester County,226306
01469,MA,Townsend,Boston-Cambridge-Newton,Middlesex County,294974.4167
01470,MA,Groton,Boston-Cambridge-Newton,Middlesex County,353996.9167
01473,MA,Westminster,Worcester,Worcester County,298955.75
01474,MA,Townsend,Boston-Cambridge-Newton,Middlesex County,301474.3333
01475,MA,Winchendon,Worcester,Worcester County,215618.3333
01501,MA,Auburn,Worcester,Worcester County,276759.5
01503,MA,Berlin,Worcester,Worcester County,415524.5
01504,MA,Blackstone,Worcester,Worcester County,298267.75
01505,MA,Boylston,Worcester,Worcester County,381929
01506,MA,Brookfield,Worcester,Worcester County,253226.8333
01507,MA,Charlton,Worcester,Worcester County,312598
01510,MA,Clinton,Worcester,Worcester County,279452.1667
01515,MA,East Brookfield,Worcester,Worcester County,265207.8333
01516,MA,Douglas,Worcester,Worcester County,331516.4167
01518,MA,Fiskdale,Worcester,Worcester County,313518
01519,MA,Grafton,Worcester,Worcester County,401320.8333
01520,MA,Holden,Worcester,Worcester County,332782
01521,MA,Holland,Springfield,Hampden County,218455.8333
01522,MA,Holden,Worcester,Worcester County,312667.1667
01523,MA,Lancaster,Worcester,Worcester County,352710.5833
01524,MA,Leicester,Worcester,Worcester County,256000.6667
01525,MS,Bay Springs,Laurel,Jasper County,193645.3636
01527,MA,Millbury,Worcester,Worcester County,304158.5
01529,MA,Millville,Worcester,Worcester County,304710.5833
01531,MA,New Braintree,Worcester,Worcester County,284126.0833
01532,MA,Northborough,Worcester,Worcester County,427570.25
01534,MA,Northbridge,Worcester,Worcester County,357740.25
01535,MA,North Brookfield,Worcester,Worcester County,238365.0833
01536,MA,Grafton,Worcester,Worcester County,347755.6667
01537,MA,Oxford,Worcester,Worcester County,226472.8333
01540,MA,Oxford,Worcester,Worcester County,254504.9167
01541,MA,Princeton,Worcester,Worcester County,382376.8333
01542,MA,Leicester,Worcester,Worcester County,270221.9167
01543,MA,Rutland,Worcester,Worcester County,309123.8333
01545,MA,Shrewsbury,Worcester,Worcester County,416767.25
01550,MA,Southbridge,Worcester,Worcester County,208377.1667
01560,MA,Grafton,Worcester,Worcester County,369800.4167
01562,MA,Spencer,Worcester,Worcester County,253992.5833
01564,MA,Sterling,Worcester,Worcester County,357194.8333
01566,MA,Sturbridge,Worcester,Worcester County,297500.4167
01568,MA,Upton,Worcester,Worcester County,444877.75
01569,MA,Uxbridge,Worcester,Worcester County,324490.1667
01570,MA,Webster,Worcester,Worcester County,255009.3333
01571,MA,Dudley,Worcester,Worcester County,273157.8333
01581,MA,Westborough,Worcester,Worcester County,462023.9167
01583,MA,West Boylston,Worcester,Worcester County,306583.5
01585,MA,West Brookfield,Worcester,Worcester County,251929.6667
01588,MA,Northbridge,Worcester,Worcester County,285654.1667
01590,MA,Sutton,Worcester,Worcester County,396139.6667
01602,MA,Worcester,Worcester,Worcester County,252544.9167
01603,MA,Worcester,Worcester,Worcester County,216219.3333
01604,MA,Worcester,Worcester,Worcester County,233945.5833
01605,MA,Worcester,Worcester,Worcester County,247226.3333
01606,MA,Worcester,Worcester,Worcester County,248910.9167
01607,MA,Worcester,Worcester,Worcester County,220361.75
01608,MA,Worcester,Worcester,Worcester County,73521.16667
01609,MA,Worcester,Worcester,Worcester County,308071.6667
01610,MA,Worcester,Worcester,Worcester County,190193.75
01611,MA,Leicester,Worcester,Worcester County,229456.75
01612,MA,Paxton,Worcester,Worcester County,322041.4167
01613,MA,Worcester,Worcester,Worcester County,299292
01615,NM,Medanales,Española,Rio Arriba County,89416.41667
01701,MA,Framingham,Boston-Cambridge-Newton,Middlesex County,453007.4167
01702,MA,Framingham,Boston-Cambridge-Newton,Middlesex County,353697.8333
01718,MA,Acton,Boston-Cambridge-Newton,Middlesex County,335439.8333
01719,MA,Boxboro,Boston-Cambridge-Newton,Middlesex County,480111.25
01720,MA,Acton,Boston-Cambridge-Newton,Middlesex County,588626.6667
01721,MA,Ashland,Boston-Cambridge-Newton,Middlesex County,417392.1667
01730,MA,Bedford,Boston-Cambridge-Newton,Middlesex County,717994.1667
01740,MA,Bolton,Worcester,Worcester County,544468.6667
01741,MA,Carlisle,Boston-Cambridge-Newton,Middlesex County,827411.5833
01742,MA,Concord,Boston-Cambridge-Newton,Middlesex County,891852
