zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,Cluster
10001,1020844.25,84765,40.1,34.3,0.37864887399999997,0.49660007,1
10002,852256.5,32694,40.7,46.0,0.218526031,0.545787099,1
10003,1089362.0829999999,92781,33.3,30.7,0.424390627,0.511293442,1
10004,1090451.8329999999,122165,38.3,37.0,0.47506870799999995,0.543341404,1
10005,1136309.0829999999,106702,30.4,29.9,0.484512602,0.628490369,1
10006,886169.4167,114611,33.2,30.5,0.505730129,0.565268065,1
10007,2752046.667,147547,35.9,36.2,0.426263385,0.5538945710000001,2
10009,843438.4167,51655,35.1,38.8,0.37646434700000003,0.590406256,1
10010,926539.25,93605,35.4,33.4,0.36988194399999996,0.555814745,1
10011,1173931.8329999999,121991,41.4,39.1,0.410526564,0.552621194,1
10012,1739318.25,90389,34.7,33.3,0.445065379,0.511092851,2
10013,2956431.0,111109,37.7,38.3,0.363111587,0.453212564,2
10014,1216797.25,123235,40.3,36.3,0.45109450700000003,0.53082899,1
10016,830070.25,98378,33.6,33.3,0.434709821,0.400467358,1
10017,665418.1667,111185,38.8,41.9,0.458979067,0.388197621,0
10018,1025007.083,86150,34.7,31.4,0.35398773,0.45035136,1
10019,1157362.9170000001,97327,39.7,39.1,0.368919857,0.448993125,1
10021,1163069.4170000001,121529,42.1,40.5,0.38910100700000005,0.44728546399999997,1
10022,932041.9167,146464,45.9,48.5,0.394719325,0.389873806,1
10023,1132154.25,119276,43.4,43.2,0.32285218600000004,0.5710552010000001,1
10024,1230568.6670000001,123179,42.7,43.3,0.35306971,0.680979606,1
10025,1067987.75,72802,41.4,41.1,0.284475184,0.660184172,1
10026,902951.3333,41556,35.8,34.1,0.23303246600000002,0.791040911,1
10027,664541.6667,32087,30.8,31.2,0.228911589,0.6537011460000001,0
10028,1172158.5,120002,39.0,38.8,0.41795124899999997,0.625865594,1
10030,762142.0,32614,35.0,37.8,0.184839998,0.728427701,1
10031,595994.8333,29111,32.3,36.4,0.205594792,0.7879019909999999,0
10032,475937.75,25183,33.6,35.9,0.192871813,0.671097243,0
10033,638617.6667,27673,33.9,38.0,0.21744451899999998,0.6862664190000001,0
10034,365469.9167,28411,35.9,37.3,0.19597219,0.691211177,0
10035,688934.3333,22799,35.1,37.4,0.16728295199999998,0.721002907,0
10036,964512.5833,80259,38.5,34.4,0.406383072,0.477728285,1
10037,545281.0833,30750,30.9,38.9,0.21255074699999998,0.702718538,0
10040,546104.3333,25371,33.9,39.8,0.199385466,0.711395048,0
10044,975805.1667,52767,45.1,40.6,0.247736366,0.828850856,1
10065,1240912.0,129810,37.8,41.5,0.38581376700000003,0.428728137,1
10069,1953860.833,113446,35.9,36.7,0.37408709799999995,0.613541667,2
10075,876209.5,120658,43.3,45.9,0.38684799200000003,0.542779029,1
10128,1143808.6670000001,103677,41.6,38.1,0.37710833299999996,0.650621559,1
10280,932750.25,110785,38.2,38.0,0.440083799,0.480085936,1
10282,2149219.917,133043,34.1,36.0,0.453543307,0.461101243,2
10301,557560.6667,31347,36.5,39.8,0.19888863199999998,0.421747905,0
10302,456830.5,27428,30.8,37.0,0.170860056,0.284552846,0
10303,381000.5,24065,31.0,34.6,0.17623257,0.39350699100000003,0
10304,540740.3333,31436,35.0,40.5,0.18206138600000002,0.396835095,0
10305,545957.1667,31731,39.1,39.7,0.210731285,0.356134399,0
10306,564353.0,36961,42.6,45.2,0.17297548899999998,0.277669271,0
10307,620317.4167,39923,40.3,39.4,0.23200236,0.19547262199999998,0
10308,543893.1667,38608,40.0,45.2,0.218728388,0.26133196399999997,0
10309,590424.5833,41982,37.6,43.1,0.21791222300000002,0.238083212,0
10310,524472.6667,32884,38.2,39.1,0.191999487,0.31774751,0
10312,556309.4167,39200,40.5,42.7,0.204656212,0.22180424399999998,0
10314,538954.9167,36201,38.3,43.1,0.19658133,0.269180498,0
10453,255280.6667,13993,28.5,32.1,0.097583056,0.652808801,0
10454,513421.1667,13394,28.0,31.1,0.059095697999999995,0.714330025,0
10455,320635.8333,15012,27.4,34.6,0.08691923900000001,0.686120996,0
10456,290718.9167,15315,28.7,32.7,0.09894759300000001,0.672245008,0
10457,285165.0,15091,28.2,31.2,0.085199532,0.662246228,0
10458,152960.1667,16992,27.6,30.4,0.101062618,0.665562116,0
10459,331724.0,15770,28.0,34.1,0.106353776,0.657965797,0
10460,258548.1667,15344,29.6,33.0,0.09228458,0.637331663,0
10461,441514.4167,28845,36.8,39.2,0.165731036,0.45399301799999997,0
10462,153992.6667,25705,34.7,37.6,0.160220161,0.629267082,0
10463,227282.0833,34911,36.0,43.4,0.209253685,0.562673314,0
10464,507648.3333,49875,43.3,47.4,0.229773463,0.22143156100000003,0
10465,431798.1667,34284,39.2,43.9,0.14858635,0.308402162,0
10466,432471.75,24043,34.6,38.6,0.16230726,0.493326993,0
10467,168004.4167,19100,32.5,34.7,0.132319786,0.627840909,0
10468,178317.6667,17454,30.7,33.5,0.106794344,0.7004876329999999,0
10469,443710.4167,25877,38.3,41.7,0.14835357300000002,0.46162066399999996,0
10470,336511.0833,31829,39.4,41.7,0.202266936,0.507444169,0
10471,280836.8333,49313,42.6,48.5,0.231372795,0.43134054299999997,0
10472,266707.25,16098,30.0,33.9,0.091300848,0.667438393,0
10473,330081.4167,22755,31.0,40.1,0.12467945400000001,0.500779475,0
10475,323524.0833,28976,43.1,48.6,0.183600658,0.554365818,0
11004,358403.4167,38823,43.3,44.6,0.255569092,0.193382455,0
11101,664643.75,46327,34.1,34.1,0.286566355,0.759810208,0
11102,581970.5,38734,32.9,34.6,0.32026504699999997,0.7207261359999999,0
11103,571678.0,39470,34.4,33.4,0.336004996,0.731398707,0
11105,656673.6667,40501,35.1,35.7,0.311188335,0.641028016,0
11106,508554.5833,37016,35.3,35.8,0.336691939,0.723591798,0
