county,coordinates,percpopbroad,percpopwobroad,pctdsgt15000kandlt25000k_hi,pctdsgt25000kandlt50000k_hi,pctdsgt50000kandlt100000k_hi,pctdsgt100000kandlt1gig_hi,pctdsgt1gig_hi,dsgteq25,usgteq3,povpct,unemployment,,,,,,
Jackson County,  (-84.00617164501776 37.41979135091643),99.6,0.4,0.4,0,0,0,99.6,99.6,100,26.8,15,,,,,,
Alleghany County,  (-81.127710400513 36.49135989086295),87.7,12.3,12.3,0,0,3.7,83.9,87.7,100,20.5,8.9,,,,,,
Gilmer County,  (-84.45574304407471 34.69141719651767),95.1,4.9,4.9,0,94.7,0.4,0,95.1,100,19.7,8.7,,,,,,
Butler County,  (-96.83878537246211 37.78134351385873),73.3,26.7,26.7,2.4,0,70.9,0,73.3,74.6,11.3,5.9,,,,,,
Imperial County,  (-115.36572183649179 33.03935668641129),85.7,14.3,14.3,0.2,85.4,0,0,85.7,85.7,23.6,24.5,,,,,,
Chautauqua County,  (-96.24531968538396 37.14997344373171),0,100,100,0,0,0,0,0,15.6,16.4,5.8,,,,,,
Comanche County,  (-99.27105698237288 37.19121917098269),97,3,3,31.5,65.5,0,0,97,97,11.4,3.2,,,,,,
La Plata County,  (-107.84332697278226 37.286551231641596),59.9,40.1,39.2,49.3,1.9,9.6,0,60.8,93.9,10.7,5.5,,,,,,
Bartholomew County,  (-85.89789135752402 39.20574385785973),85.8,14.2,14.2,1,0,84.7,0,85.8,100,11.8,5.9,,,,,,
Marion County,  (-97.09712874184247 38.35899872686149),30,70,70,0,30,0,0,30,42.7,11.9,4.7,,,,,,
Inyo County,  (-117.41131872266563 36.51173415118064),72.3,27.7,27.7,0,52,0,20.3,72.3,82.5,14,8.1,,,,,,
Madison County,  (-83.4001274684574 39.89429692493083),82.5,17.5,17.5,0,82.5,0,0,82.5,99.5,12.6,6.8,,,,,,
Hawaii County,  (-155.521167555471 19.601235069969714),88.3,11.7,11.7,0,87.4,0.9,0,88.3,88.3,18.1,6.8,,,,,,
Muscatine County,  (-91.11279574935371 41.48388139124042),28.2,71.8,71.3,6.7,9.4,12.5,0,28.7,90.3,11.4,4.7,,,,,,
Bryan County,  (-96.2624637240306 33.96278603869242),52.7,47.3,47.3,0,0,52.7,0,52.7,84.8,19.1,4.9,,,,,,
Siskiyou County,  (-122.54051644663323 41.59272613144971),3.4,96.6,96.6,0,0,3.4,0,3.4,61.9,21.1,13,,,,,,
Elliott County,  (-83.09731571227474 38.11810953149658),100,0,0,0,100,0,0,100,100,32.4,11.6,,,,,,
Muhlenberg County,  (-87.14268720339425 37.21592448747536),68,32,32,0,68,0,0,68,100,21.6,9.5,,,,,,
Flagler County,  (-81.3135800274988 29.461634675555427),96.2,3.8,3.8,0.3,0,96,0,96.2,96.3,11.6,10.2,,,,,,
Dillingham Census Area,  (-158.21416336864579 59.79832304664101),0,100,100,0,0,0,0,0,0,17.5,9.5,,,,,,
Crowley County,  (-103.78382975903781 38.32685937925095),0.4,99.6,99.6,0,0,0.4,0,0.4,59,40.5,9.1,,,,,,
Yates County,  (-77.1055895796342 42.633628225861166),70.8,29.2,29.2,2.6,66.7,0,1.6,70.8,70.8,14.5,6.1,,,,,,
Logan County,  (-99.47712747904848 46.45733693763225),100,0,0,0,0,100,0,100,100,11.9,3,,,,,,
Upton County,  (-102.0428876568696 31.368644532257502),0,100,100,0,0,0,0,0,1,14.3,3.3,,,,,,
Franklin County,  (-70.44421037444208 44.974244859563285),41.8,58.2,58.2,3.4,38.1,0.3,0,41.8,44.9,15.8,8.7,,,,,,
Nolan County,  (-100.40603824685304 32.3039039904676),78.3,21.7,21.7,1.1,66.4,0,10.7,78.3,91.7,17.9,5.4,,,,,,
Slope County,  (-103.46028761508664 46.447319403384135),98.6,1.4,1.4,0,0,98.6,0,98.6,100,9.4,1.2,,,,,,
Mississippi County,  (-90.05430077103236 35.764201273074676),75.8,24.2,23.5,0.7,71.1,4.7,0,76.5,100,27.1,11,,,,,,
Knox County,  (-92.14789043365552 40.12754124677974),0,100,100,0,0,0,0,0,0,19.4,4.5,,,,,,
