,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
0,602,Zip,AL,Auburn,Auburn-Opelika,Lee County,114105.25,9277.0,41.9,42.8,0.13469045300000002,0.002796225
1,606,Zip,MO,Neosho,Joplin,Newton County,59377.75,5943.0,43.2,43.4,0.068866253,0.0
2,610,Zip,KY,Anasco,,Pike County,108219.5833,10220.0,40.4,44.2,0.13034857,0.002741032
3,617,Zip,AL,Imbery,Enterprise,Coffee County,101022.0,9122.0,39.2,41.0,0.157223967,0.005153723
4,693,Zip,PA,Greensburg,Pittsburgh,Westmoreland County,330761.5,10536.0,39.2,41.9,0.148064321,0.006750174
5,705,Zip,UT,Aibonito,,Kane County,129276.0833,10562.0,39.5,43.7,0.137962736,0.0019059720000000001
6,765,Zip,CO,Ohio City,,Gunnison County,124190.5833,11174.0,41.0,45.5,0.148922379,0.0
7,791,Zip,NM,Humacao,Las Vegas,San Miguel County,244819.75,12288.0,40.2,43.9,0.17493419100000002,0.001586822
8,917,Zip,UT,San Juan,,Kane County,348312.75,13838.0,44.2,49.7,0.150753405,0.104110459
9,1001,Zip,MA,Agawam,Springfield,Hampden County,214379.3333,35135.0,43.0,48.8,0.192552561,0.009139724
10,1002,Zip,MA,Amherst,Springfield,Hampshire County,333981.8333,29499.0,23.3,23.7,0.25553871699999997,0.10640564699999999
11,1003,Zip,MA,Amherst,Springfield,Hampshire County,272621.9167,4590.0,19.9,20.1,0.110169492,0.029775281
12,1005,Zip,MA,Barre,Worcester,Worcester County,231814.4167,35190.0,48.4,47.5,0.17231717600000002,0.0
13,1007,Zip,MA,Belchertown,Springfield,Hampshire County,284093.1667,42021.0,39.6,46.0,0.244268775,0.005864415
14,1008,Zip,MA,Blandford,Springfield,Hampden County,231081.1667,36847.0,53.3,51.7,0.198103267,0.0
15,1009,Zip,TX,Nome,Beaumont-Port Arthur,Jefferson County,176413.9167,32651.0,34.8,58.2,0.338383838,0.0
16,1010,Zip,MA,Brimfield,Springfield,Hampden County,260012.75,38489.0,46.4,48.1,0.192653943,0.0
17,1011,Zip,MA,Chester,Springfield,Hampden County,170112.75,30923.0,47.5,45.2,0.118408881,0.0
18,1012,Zip,MA,Chesterfield,Springfield,Hampshire County,248846.75,37325.0,45.8,55.5,0.158371041,0.0
19,1013,Zip,MA,Chicopee,Springfield,Hampden County,187029.4167,23656.0,34.0,36.9,0.117693264,0.015285756000000001
20,1020,Zip,MA,Chicopee,Springfield,Hampden County,197655.75,30280.0,43.5,45.1,0.11747542300000001,0.006496089
21,1022,Zip,MA,Chicopee,Springfield,Hampden County,126611.4167,24254.0,27.7,48.8,0.147040102,0.008686211
22,1026,Zip,MA,Cummington,Springfield,Hampshire County,235990.6667,32310.0,49.7,51.6,0.235211268,0.020785219
23,1027,Zip,MA,Easthampton,Springfield,Hampshire County,270128.0833,37036.0,44.8,46.2,0.22008608300000002,0.020896122
24,1028,Zip,MA,East Longmeadow,Springfield,Hampden County,272371.5,39074.0,44.5,47.0,0.246817786,0.010706358999999999
25,1029,Zip,MA,Otis,Pittsfield,Berkshire County,232648.5,36045.0,45.5,45.1,0.244575937,0.0
26,1030,Zip,MA,Agawam,Springfield,Hampden County,251308.5833,36883.0,47.5,48.6,0.232360097,0.0
27,1031,Zip,MA,Hardwick,Worcester,Worcester County,240699.4167,27298.0,34.0,41.0,0.19883040899999999,0.0
28,1032,Zip,MA,Goshen,Springfield,Hampshire County,259662.0,34264.0,54.3,48.3,0.236907731,0.013114754
29,1033,Zip,MA,Granby,Springfield,Hampshire County,252182.5833,42852.0,44.0,48.4,0.268406535,0.006858711
30,1034,Zip,MA,Tolland,Springfield,Hampden County,273651.25,37270.0,45.9,47.1,0.20743034100000002,0.006866953
31,1035,Zip,MA,Hadley,Springfield,Hampshire County,350874.0833,43529.0,48.0,51.9,0.272095808,0.006495988
32,1036,Zip,MA,Hampden,Springfield,Hampden County,277753.8333,40873.0,49.5,51.6,0.183410613,0.003539127
33,1037,Zip,MA,Hardwick,Worcester,Worcester County,288357.6667,36432.0,30.9,46.5,0.190854871,0.0
34,1038,Zip,MA,Hatfield,Springfield,Hampshire County,306910.9167,38827.0,49.9,51.0,0.225221239,0.007893139
35,1039,Zip,MA,Williamsburg,Springfield,Hampshire County,326423.9167,48914.0,52.1,56.0,0.216308041,0.008090615
36,1040,Zip,MA,Holyoke,Springfield,Hampden County,196440.5,23385.0,33.0,37.2,0.141268534,0.017805233
37,1050,Zip,MA,Huntington,Springfield,Hampshire County,217639.8333,32499.0,41.9,46.1,0.1959345,0.0
38,1053,Zip,MA,Northampton,Springfield,Hampshire County,265297.4167,31903.0,44.5,60.5,0.211351755,0.067605634
39,1054,Zip,MA,Leverett,Greenfield Town,Franklin County,335247.75,48512.0,47.2,51.3,0.237299465,0.00776699
40,1056,Zip,MA,Ludlow,Springfield,Hampden County,229959.5833,32772.0,42.6,46.9,0.161096721,0.0062359930000000004
41,1057,Zip,MA,Monson,Springfield,Hampden County,247710.1667,38217.0,45.9,47.6,0.157748651,0.0
42,1060,Zip,MA,Northampton,Springfield,Hampshire County,299822.5833,36203.0,39.9,32.0,0.265471202,0.029544913
43,1062,Zip,MA,Northampton,Springfield,Hampshire County,281380.4167,38324.0,42.0,45.3,0.25186170199999997,0.013967611000000001
44,1063,Zip,MA,Northampton,Springfield,Hampshire County,597977.1667,3532.0,20.7,20.4,,0.037037037
45,1066,Zip,MA,Hatfield,Springfield,Hampshire County,321539.4167,,-666666666.0,-666666666.0,0.0,
46,1068,Zip,MA,Oakham,Worcester,Worcester County,280850.6667,36408.0,48.4,47.1,0.21189591100000002,0.006930693000000001
47,1069,Zip,MA,Palmer,Springfield,Hampden County,201264.4167,32269.0,45.7,47.4,0.186193413,0.0
48,1070,Zip,MA,Plainfield,Springfield,Hampshire County,213918.3333,30898.0,48.6,51.0,0.16741071400000002,0.015151515
49,1071,Zip,MA,Russell,Springfield,Hampden County,212519.0,33627.0,46.4,47.3,0.151939655,0.0
50,1072,Zip,MA,Shutesbury,Greenfield Town,Franklin County,266039.25,38304.0,46.7,46.7,0.26835902100000003,0.0
51,1073,Zip,MA,Southampton,Springfield,Hampshire County,307768.3333,46378.0,45.6,45.9,0.176096342,0.0
52,1075,Zip,MA,South Hadley,Springfield,Hampshire County,246833.5,32510.0,44.5,36.7,0.200136205,0.012452211999999999
53,1077,Zip,MA,Southwick,Springfield,Hampden County,259556.6667,38181.0,47.7,47.5,0.19280817100000003,0.003000429
54,1080,Zip,MA,Palmer,Springfield,Hampden County,179297.3333,24455.0,29.5,36.5,0.11754780699999999,0.0
55,1081,Zip,MA,Wales,Springfield,Hampden County,201680.5833,27940.0,42.8,42.1,0.125744048,0.0
56,1082,Zip,MA,Ware,Springfield,Hampshire County,204626.4167,30050.0,43.4,43.2,0.163728286,0.000209908
57,1083,Zip,MA,Warren,Worcester,Worcester County,220110.0833,28374.0,42.8,40.7,0.175364363,0.0
58,1084,Zip,MA,Chesterfield,Springfield,Hampshire County,277982.5833,48133.0,53.3,49.5,0.255813953,0.0
59,1085,Zip,MA,Westfield,Springfield,Hampden County,240342.25,31563.0,36.7,42.4,0.21259641,0.005430676
60,1088,Zip,MA,Hatfield,Springfield,Hampshire County,327794.0,29031.0,41.8,42.4,0.275080906,0.0
61,1089,Zip,MA,West Springfield,Springfield,Hampden County,228685.8333,31135.0,38.0,40.0,0.18954148899999998,0.015045063999999999
62,1092,Zip,MA,Warren,Worcester,Worcester County,202147.5833,34723.0,31.9,40.2,0.328436516,0.0
63,1093,Zip,MA,Whately,Greenfield Town,Franklin County,318101.5,56122.0,47.7,51.5,0.375609756,0.0
64,1094,Zip,MA,Hardwick,Worcester,Worcester County,267943.8333,29900.0,67.1,65.2,0.10204081599999999,0.0
65,1095,Zip,MA,Wilbraham,Springfield,Hampden County,296172.9167,48112.0,47.5,47.1,0.26274003,0.006622517
66,1096,Zip,MA,Williamsburg,Springfield,Hampshire County,275154.9167,41671.0,40.6,48.2,0.223523422,0.001992032
67,1097,Zip,MA,Russell,Springfield,Hampden County,161540.6667,13193.0,0.0,17.9,0.125,0.0
68,1098,Zip,MA,Worthington,Springfield,Hampshire County,246659.25,42880.0,51.1,50.4,0.198473282,0.010086455
69,1103,Zip,MA,Springfield,Springfield,Hampden County,65149.75,22689.0,30.9,45.0,0.09627507199999999,0.099385246
70,1104,Zip,MA,Springfield,Springfield,Hampden County,149189.6667,20132.0,34.8,35.9,0.090079286,0.059362724000000006
71,1105,Zip,MA,Springfield,Springfield,Hampden County,115535.4167,13698.0,29.1,33.3,0.066914006,0.102634468
72,1106,Zip,MA,Longmeadow,Springfield,Hampden County,352977.8333,55368.0,44.6,46.9,0.31938068199999997,0.00485306
73,1107,Zip,MA,Springfield,Springfield,Hampden County,156128.75,14816.0,23.7,30.0,0.072563814,0.082281953
74,1108,Zip,MA,Springfield,Springfield,Hampden County,164208.8333,20693.0,31.0,33.9,0.10199296599999999,0.058966989000000004
75,1109,Zip,MA,Springfield,Springfield,Hampden County,142823.1667,15676.0,25.0,31.6,0.103931204,0.046155249
76,1118,Zip,MA,Springfield,Springfield,Hampden County,182078.75,30775.0,33.8,40.5,0.195878312,0.006904955
77,1119,Zip,MA,Springfield,Springfield,Hampden County,168531.6667,23094.0,33.1,37.6,0.145769862,0.0059438040000000004
78,1128,Zip,MA,Springfield,Springfield,Hampden County,192245.5,35170.0,51.6,46.5,0.13886162900000001,0.005974608
79,1129,Zip,MA,Springfield,Springfield,Hampden County,181972.75,30704.0,40.5,43.7,0.163034705,0.0
