,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
0,602,114105.25,9277.0,41.9,42.8,0.13469045300000002,0.002796225,0
1,606,59377.75,5943.0,43.2,43.4,0.068866253,0.0,0
2,610,108219.5833,10220.0,40.4,44.2,0.13034857,0.002741032,0
3,617,101022.0,9122.0,39.2,41.0,0.157223967,0.005153723,0
4,693,330761.5,10536.0,39.2,41.9,0.148064321,0.006750174,0
5,705,129276.0833,10562.0,39.5,43.7,0.137962736,0.0019059720000000001,0
6,765,124190.5833,11174.0,41.0,45.5,0.148922379,0.0,0
7,791,244819.75,12288.0,40.2,43.9,0.17493419100000002,0.001586822,0
8,917,348312.75,13838.0,44.2,49.7,0.150753405,0.104110459,0
9,1001,214379.3333,35135.0,43.0,48.8,0.192552561,0.009139724,0
10,1002,333981.8333,29499.0,23.3,23.7,0.25553871699999997,0.10640564699999999,0
11,1003,272621.9167,4590.0,19.9,20.1,0.110169492,0.029775281,0
12,1005,231814.4167,35190.0,48.4,47.5,0.17231717600000002,0.0,0
13,1007,284093.1667,42021.0,39.6,46.0,0.244268775,0.005864415,0
14,1008,231081.1667,36847.0,53.3,51.7,0.198103267,0.0,0
15,1009,176413.9167,32651.0,34.8,58.2,0.338383838,0.0,0
16,1010,260012.75,38489.0,46.4,48.1,0.192653943,0.0,0
17,1011,170112.75,30923.0,47.5,45.2,0.118408881,0.0,0
18,1012,248846.75,37325.0,45.8,55.5,0.158371041,0.0,0
19,1013,187029.4167,23656.0,34.0,36.9,0.117693264,0.015285756000000001,0
20,1020,197655.75,30280.0,43.5,45.1,0.11747542300000001,0.006496089,0
21,1022,126611.4167,24254.0,27.7,48.8,0.147040102,0.008686211,0
22,1026,235990.6667,32310.0,49.7,51.6,0.235211268,0.020785219,0
23,1027,270128.0833,37036.0,44.8,46.2,0.22008608300000002,0.020896122,0
24,1028,272371.5,39074.0,44.5,47.0,0.246817786,0.010706358999999999,0
25,1029,232648.5,36045.0,45.5,45.1,0.244575937,0.0,0
26,1030,251308.5833,36883.0,47.5,48.6,0.232360097,0.0,0
27,1031,240699.4167,27298.0,34.0,41.0,0.19883040899999999,0.0,0
28,1032,259662.0,34264.0,54.3,48.3,0.236907731,0.013114754,0
29,1033,252182.5833,42852.0,44.0,48.4,0.268406535,0.006858711,0
30,1034,273651.25,37270.0,45.9,47.1,0.20743034100000002,0.006866953,0
31,1035,350874.0833,43529.0,48.0,51.9,0.272095808,0.006495988,0
32,1036,277753.8333,40873.0,49.5,51.6,0.183410613,0.003539127,0
33,1037,288357.6667,36432.0,30.9,46.5,0.190854871,0.0,0
34,1038,306910.9167,38827.0,49.9,51.0,0.225221239,0.007893139,0
35,1039,326423.9167,48914.0,52.1,56.0,0.216308041,0.008090615,0
36,1040,196440.5,23385.0,33.0,37.2,0.141268534,0.017805233,0
37,1050,217639.8333,32499.0,41.9,46.1,0.1959345,0.0,0
38,1053,265297.4167,31903.0,44.5,60.5,0.211351755,0.067605634,0
39,1054,335247.75,48512.0,47.2,51.3,0.237299465,0.00776699,0
40,1056,229959.5833,32772.0,42.6,46.9,0.161096721,0.0062359930000000004,0
41,1057,247710.1667,38217.0,45.9,47.6,0.157748651,0.0,0
42,1060,299822.5833,36203.0,39.9,32.0,0.265471202,0.029544913,0
43,1062,281380.4167,38324.0,42.0,45.3,0.25186170199999997,0.013967611000000001,0
44,1068,280850.6667,36408.0,48.4,47.1,0.21189591100000002,0.006930693000000001,0
45,1069,201264.4167,32269.0,45.7,47.4,0.186193413,0.0,0
46,1070,213918.3333,30898.0,48.6,51.0,0.16741071400000002,0.015151515,0
47,1071,212519.0,33627.0,46.4,47.3,0.151939655,0.0,0
48,1072,266039.25,38304.0,46.7,46.7,0.26835902100000003,0.0,0
49,1073,307768.3333,46378.0,45.6,45.9,0.176096342,0.0,0
50,1075,246833.5,32510.0,44.5,36.7,0.200136205,0.012452211999999999,0
51,1077,259556.6667,38181.0,47.7,47.5,0.19280817100000008,0.003000429,0
