,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
145,1451,634110.1667,68615.0,46.5,46.1,0.362543499,0.07078507099999999,4
216,1720,588626.6667,62794.0,43.1,45.2,0.306525327,0.068392347,4
218,1730,717994.1667,61653.0,43.2,42.2,0.311889837,0.02307917,4
219,1740,544468.6667,56557.0,41.1,45.3,0.35695614299999995,0.034990792,4
220,1741,827411.5833,85227.0,47.8,48.7,0.363233666,0.029995775,4
221,1742,891852.0,69472.0,44.1,48.4,0.274618088,0.07659155299999999,4
225,1748,598174.25,66704.0,41.4,41.8,0.368142198,0.067125451,4
231,1760,598084.25,57945.0,38.0,42.5,0.327302113,0.09143746800000001,4
232,1770,808743.5,79952.0,47.8,44.8,0.331761536,0.10185604300000001,4
233,1772,609292.1667,66904.0,43.1,43.9,0.373985034,0.0484394,4
234,1773,1007038.417,90195.0,56.1,54.1,0.268898488,0.12369338,4
235,1775,526006.5833,60306.0,42.7,43.0,0.336045056,0.021878335,4
236,1776,748929.8333,75699.0,44.2,44.6,0.35761008299999997,0.042380522999999996,4
237,1778,732326.4167,80323.0,41.5,45.2,0.371199324,0.048387097000000004,4
239,1803,578692.9167,48663.0,40.3,42.6,0.3080348,0.036748654,4
240,1810,617424.3333,66268.0,41.9,42.3,0.344299729,0.050727465,4
254,1845,518309.75,54587.0,36.5,43.3,0.351888277,0.036977903,4
262,1864,562113.0833,53748.0,42.2,45.2,0.293958032,0.036122331,4
263,1867,606536.9167,50776.0,40.4,45.9,0.32628895199999997,0.09918967599999999,4
266,1880,556139.8333,47970.0,43.5,45.8,0.307657499,0.081696247,4
267,1886,546143.25,53692.0,43.7,41.9,0.34183060299999996,0.027085504,4
268,1887,522701.0833,47330.0,40.2,42.8,0.24615291399999997,0.049801543,4
269,1890,1009051.25,77433.0,40.8,44.6,0.299160553,0.110594457,4
275,1907,518249.9167,57652.0,44.4,44.9,0.29812429,0.133186357,4
276,1908,625236.8333,59385.0,51.5,54.0,0.302506177,0.095528455,4
279,1921,670140.3333,72832.0,47.5,45.4,0.323157895,0.017134698,4
280,1922,532357.1667,48117.0,44.0,46.9,0.394887616,0.038986355,4
282,1929,558401.25,52604.0,47.6,44.8,0.326721557,0.092761394,4
284,1938,524523.1667,48927.0,46.9,49.8,0.292087626,0.04636126,4
285,1940,681307.5833,59658.0,43.6,42.6,0.32184281800000003,0.022333572000000003,4
286,1944,830698.1667,70012.0,48.6,50.5,0.334908136,0.14532600199999998,4
287,1945,670182.8333,69202.0,46.8,48.8,0.385996894,0.087698174,4
288,1949,566138.75,45456.0,38.8,44.9,0.251926152,0.021028037000000003,4
289,1950,525203.6667,61503.0,45.9,50.6,0.339889503,0.040847824,4
290,1951,552235.1667,59562.0,51.3,52.1,0.395618984,0.069411202,4
293,1966,558026.6667,47105.0,52.3,55.3,0.319471028,0.059405941,4
296,1982,569984.5833,49763.0,36.6,44.7,0.361252594,0.08348745,4
297,1983,626947.0833,50449.0,43.9,45.8,0.295753065,0.006807351999999999,4
298,1984,620659.6667,48324.0,33.1,23.4,0.39490688,0.032760033,4
299,1985,580255.6667,59600.0,44.6,48.7,0.352604828,0.025651987999999997,4
301,2021,515153.75,53620.0,40.8,42.8,0.301653141,0.131450344,4
302,2025,851774.8333,76882.0,43.0,44.5,0.371978119,0.21364118899999998,4
303,2026,510792.6667,51354.0,39.3,47.0,0.272038271,0.11222355099999999,4
304,2030,1127336.4170000001,115686.0,42.7,46.8,0.322487536,0.092001502,4
305,2032,530639.0,58558.0,40.5,40.5,0.314732143,0.142737896,4
308,2043,797004.0833,73963.0,43.4,47.6,0.362625,0.194444444,4
313,2052,674256.5833,67029.0,41.3,42.4,0.34378921,0.093124895,4
316,2056,534880.0833,47853.0,42.0,44.5,0.327842457,0.104820964,4
317,2061,631004.0,61522.0,42.0,42.7,0.398424769,0.091239549,4
319,2066,575315.5,60371.0,47.4,48.3,0.33720300299999995,0.10187493199999999,4
320,2067,573253.0,66261.0,43.1,42.9,0.306552707,0.185844459,4
321,2071,545290.8333,24449.0,39.4,45.4,0.164157706,0.101694915,4
323,2081,512935.4167,51652.0,39.6,45.8,0.342604587,0.09842437,4
324,2090,734444.5,71327.0,44.7,45.1,0.36122202600000003,0.17261432699999998,4
326,2108,1246405.1670000001,99533.0,37.2,33.6,0.380618425,0.268846503,4
327,2109,872498.3333,108280.0,31.8,35.1,0.400640093,0.180902648,4
328,2110,1363870.083,154315.0,57.2,48.5,0.282535075,0.128282071,4
329,2111,970541.5,52233.0,32.8,33.6,0.23994227,0.245748766,4
330,2113,593769.0833,72526.0,30.8,28.7,0.527246423,0.246984882,4
331,2114,700372.0,80949.0,33.0,33.2,0.371654663,0.211963294,4
332,2115,760032.4167,25763.0,21.9,21.9,0.309834176,0.292139936,4
333,2116,1120247.6670000001,106606.0,36.5,35.6,0.33796399200000005,0.22980873300000002,4
334,2118,866722.0,65635.0,34.4,33.5,0.255489865,0.279010649,4
336,2120,581371.9167,19313.0,23.3,26.5,0.21018931,0.37365508799999997,4
340,2125,526459.9167,31525.0,30.3,33.9,0.234634712,0.367375967,4
342,2127,719298.0833,58978.0,31.3,31.6,0.41842229299999995,0.36994753399999997,4
344,2129,766931.6667,71606.0,34.3,35.9,0.353254196,0.265971317,4
345,2130,626294.25,49466.0,35.0,34.9,0.28770159999999995,0.418170826,4
346,2131,529708.9167,37554.0,36.0,39.6,0.232575322,0.269606766,4
347,2132,590836.4167,48843.0,43.8,45.8,0.267956812,0.170535479,4
348,2134,566551.75,35551.0,27.2,26.9,0.363601881,0.38747380299999995,4
351,2138,847486.8333,55695.0,28.2,28.9,0.290447243,0.21355612899999998,4
352,2139,804538.1667,50114.0,29.3,30.0,0.308420129,0.30366492100000003,4
353,2140,796435.1667,59174.0,33.4,34.5,0.255411255,0.411075277,4
354,2141,745290.4167,50469.0,30.7,33.5,0.266749144,0.291956189,4
355,2142,938398.3333,84892.0,32.5,30.1,0.294262295,0.23621649,4
356,2143,718976.5833,49679.0,30.9,30.9,0.367315326,0.292599883,4
357,2144,780236.3333,57270.0,30.6,31.4,0.38373311,0.43131913,4
358,2145,614365.3333,38727.0,33.2,34.1,0.257467779,0.32301632,4
364,2155,605453.1667,46129.0,33.9,36.0,0.262781162,0.20387318899999998,4
366,2170,532426.4167,39024.0,36.9,43.7,0.268913343,0.287990531,4
368,2176,628411.6667,52682.0,38.1,41.8,0.306179775,0.22863727,4
369,2180,549457.8333,48185.0,42.7,44.4,0.26320811,0.072610521,4
371,2186,691277.9167,54831.0,37.9,40.6,0.310311615,0.12804744099999998,4
376,2199,1679999.333,104149.0,39.9,44.3,0.5068359379999999,0.220032841,4
377,2210,1119906.4170000001,131200.0,36.6,38.2,0.45123258299999996,0.123230004,4
378,2215,662135.8333,27998.0,22.3,21.3,0.329470923,0.261965949,4
